"","Gene","SLE001h","SLE002h","SLE004h","SLE005h","SLE006h","SLE007h","SLE008h","SLE010h","SLE011h","SLE012h","SLE013h","SLE014h","SLE015h","SLE016h"
"311","AC003001.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"312","AC003002.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313","AC003002.2",0,0,2,0,0,1,0,0,0,0,2,0,0,0
"314","AC003002.3",0,0,1,0,0,0,0,0,1,0,0,1,0,0
"315","AC003005.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"316","AC003005.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317","AC003006.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"318","AC003009.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"319","AC003035.1",0,0,1,0,0,0,0,0,0,0,0,1,0,0
"320","AC003035.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"321","AC003043.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"322","AC003045.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"323","AC003070.1",13,30,44,31,30,26,25,42,18,46,49,48,29,3
"324","AC003070.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"325","AC003071.1",10,27,35,50,37,31,40,30,54,70,36,35,43,17
"326","AC003071.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"327","AC003072.1",6,27,15,18,10,9,9,29,13,15,9,34,14,1
"328","AC003075.1",2,2,0,3,0,2,2,2,2,1,1,2,1,0
"329","AC003080.1",1,0,1,0,0,0,0,1,0,0,1,0,1,0
"330","AC003084.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331","AC003087.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332","AC003092.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333","AC003092.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","AC003098.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"335","AC003101.1",0,0,0,0,0,0,0,2,1,0,0,0,1,0
"336","AC003101.2",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"337","AC003101.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338","AC003102.1",10,11,19,11,9,19,13,23,8,37,16,8,4,1
"339","AC003659.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"340","AC003666.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"341","AC003669.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"342","AC003681.1",58,101,182,36,77,36,17,136,58,126,151,139,78,29
"343","AC003682.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0
"344","AC003684.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"345","AC003685.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"346","AC003685.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"347","AC003686.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"348","AC003687.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"349","AC003688.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350","AC003688.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351","AC003956.1",0,1,0,1,1,1,0,1,0,3,0,2,0,0
"352","AC003957.1",0,1,4,3,0,6,3,4,2,5,2,1,1,0
"353","AC003958.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"354","AC003958.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"355","AC003965.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"356","AC003965.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357","AC003973.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"358","AC003973.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"359","AC003973.3",1,6,7,13,11,25,5,8,3,7,12,30,22,0
