,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC010460.2,0,NA,NA,NA,NA,NA
AC010463.1,0,NA,NA,NA,NA,NA
AC010463.2,0,NA,NA,NA,NA,NA
AC010468.3,0,NA,NA,NA,NA,NA
AC010476.1,0,NA,NA,NA,NA,NA
AC010478.1,0,NA,NA,NA,NA,NA
AC010480.1,0,NA,NA,NA,NA,NA
AC010486.1,0,NA,NA,NA,NA,NA
AC010486.2,0,NA,NA,NA,NA,NA
AC010486.3,0,NA,NA,NA,NA,NA
AC010487.3,0,NA,NA,NA,NA,NA
AC010493.1,0,NA,NA,NA,NA,NA
AC010503.1,0,NA,NA,NA,NA,NA
AC010503.2,0,NA,NA,NA,NA,NA
AC010503.3,0,NA,NA,NA,NA,NA
AC010507.1,0,NA,NA,NA,NA,NA
AC010507.2,0,NA,NA,NA,NA,NA
AC010511.1,0,NA,NA,NA,NA,NA
AC010519.1,0,NA,NA,NA,NA,NA
AC010522.1,0,NA,NA,NA,NA,NA
AC010525.2,0,NA,NA,NA,NA,NA
AC010528.1,0,NA,NA,NA,NA,NA
AC010531.1,0,NA,NA,NA,NA,NA
AC010531.2,0,NA,NA,NA,NA,NA
AC010531.7,0,NA,NA,NA,NA,NA
AC010531.8,0,NA,NA,NA,NA,NA
AC010533.1,0,NA,NA,NA,NA,NA
AC010542.2,0,NA,NA,NA,NA,NA
AC010542.3,0,NA,NA,NA,NA,NA
AC010546.1,0,NA,NA,NA,NA,NA
AC010547.2,0,NA,NA,NA,NA,NA
AC010547.3,0,NA,NA,NA,NA,NA
AC010547.4,0,NA,NA,NA,NA,NA
AC010547.5,0,NA,NA,NA,NA,NA
AC010551.1,0,NA,NA,NA,NA,NA
AC010551.2,0,NA,NA,NA,NA,NA
AC010551.3,0,NA,NA,NA,NA,NA
AC010587.1,0,NA,NA,NA,NA,NA
AC010587.2,0,NA,NA,NA,NA,NA
AC010591.1,0,NA,NA,NA,NA,NA
AC010595.1,0,NA,NA,NA,NA,NA
AC010601.1,0,NA,NA,NA,NA,NA
AC010601.2,0,NA,NA,NA,NA,NA
AC010605.1,0,NA,NA,NA,NA,NA
AC010608.1,0,NA,NA,NA,NA,NA
AC010608.2,0,NA,NA,NA,NA,NA
AC010608.3,0,NA,NA,NA,NA,NA
AC010615.4,0,NA,NA,NA,NA,NA
AC010619.1,0,NA,NA,NA,NA,NA
AC010620.2,0,NA,NA,NA,NA,NA
AC010624.2,0,NA,NA,NA,NA,NA
AC010624.4,0,NA,NA,NA,NA,NA
AC010625.1,0,NA,NA,NA,NA,NA
AC010631.1,0,NA,NA,NA,NA,NA
AC010632.1,0,NA,NA,NA,NA,NA
AC010632.3,0,NA,NA,NA,NA,NA
AC010634.1,0,NA,NA,NA,NA,NA
AC010636.1,0,NA,NA,NA,NA,NA
AC010636.2,0,NA,NA,NA,NA,NA
AC010641.1,0,NA,NA,NA,NA,NA
AC010646.1,0,NA,NA,NA,NA,NA
AC010649.1,0,NA,NA,NA,NA,NA
AC010653.2,0,NA,NA,NA,NA,NA
AC010655.1,0,NA,NA,NA,NA,NA
AC010655.2,0,NA,NA,NA,NA,NA
AC010655.3,0,NA,NA,NA,NA,NA
AC010655.4,0,NA,NA,NA,NA,NA
AC010678.1,0,NA,NA,NA,NA,NA
AC010722.1,0,NA,NA,NA,NA,NA
AC010723.1,0,NA,NA,NA,NA,NA
AC010729.1,0,NA,NA,NA,NA,NA
AC010731.1,0,NA,NA,NA,NA,NA
AC010731.3,0,NA,NA,NA,NA,NA
AC010733.2,0,NA,NA,NA,NA,NA
AC010735.1,0,NA,NA,NA,NA,NA
AC010737.1,0,NA,NA,NA,NA,NA
AC010738.1,0,NA,NA,NA,NA,NA
AC010740.1,0,NA,NA,NA,NA,NA
AC010745.1,0,NA,NA,NA,NA,NA
AC010745.2,0,NA,NA,NA,NA,NA
AC010745.3,0,NA,NA,NA,NA,NA
AC010745.4,0,NA,NA,NA,NA,NA
AC010760.1,0,NA,NA,NA,NA,NA
AC010761.2,0,NA,NA,NA,NA,NA
AC010761.5,0,NA,NA,NA,NA,NA
AC010761.6,0,NA,NA,NA,NA,NA
AC010768.3,0,NA,NA,NA,NA,NA
AC010768.4,0,NA,NA,NA,NA,NA
AC010776.1,0,NA,NA,NA,NA,NA
AC010776.2,0,NA,NA,NA,NA,NA
AC010776.3,0,NA,NA,NA,NA,NA
AC010789.1,0,NA,NA,NA,NA,NA
AC010834.1,0,NA,NA,NA,NA,NA
AC010857.1,0,NA,NA,NA,NA,NA
AC010872.1,0,NA,NA,NA,NA,NA
AC010880.1,0,NA,NA,NA,NA,NA
AC010881.1,0,NA,NA,NA,NA,NA
AC010886.1,0,NA,NA,NA,NA,NA
AC010890.1,0,NA,NA,NA,NA,NA
AC010891.1,0,NA,NA,NA,NA,NA
AC010900.2,0,NA,NA,NA,NA,NA
AC010904.1,0,NA,NA,NA,NA,NA
AC010907.1,0,NA,NA,NA,NA,NA
AC010907.2,0,NA,NA,NA,NA,NA
AC010928.1,0,NA,NA,NA,NA,NA
AC010928.2,0,NA,NA,NA,NA,NA
AC010928.3,0,NA,NA,NA,NA,NA
AC010931.1,0,NA,NA,NA,NA,NA
AC010931.2,0,NA,NA,NA,NA,NA
AC010931.3,0,NA,NA,NA,NA,NA
AC010947.1,0,NA,NA,NA,NA,NA
AC010967.1,0,NA,NA,NA,NA,NA
AC010967.2,0,NA,NA,NA,NA,NA
AC010967.3,0,NA,NA,NA,NA,NA
AC010969.1,0,NA,NA,NA,NA,NA
AC010974.1,0,NA,NA,NA,NA,NA
AC010975.1,0,NA,NA,NA,NA,NA
AC010975.2,0,NA,NA,NA,NA,NA
AC010975.3,0,NA,NA,NA,NA,NA
AC010982.1,0,NA,NA,NA,NA,NA
AC010983.1,0,NA,NA,NA,NA,NA
AC010997.1,0,NA,NA,NA,NA,NA
AC010997.2,0,NA,NA,NA,NA,NA
AC010997.3,0,NA,NA,NA,NA,NA
AC010997.5,0,NA,NA,NA,NA,NA
AC010998.1,0,NA,NA,NA,NA,NA
AC010998.3,0,NA,NA,NA,NA,NA
AC011005.2,0,NA,NA,NA,NA,NA
AC011005.3,0,NA,NA,NA,NA,NA
AC011005.4,0,NA,NA,NA,NA,NA
AC011008.1,0,NA,NA,NA,NA,NA
AC011037.1,0,NA,NA,NA,NA,NA
AC011043.2,0,NA,NA,NA,NA,NA
AC011092.1,0,NA,NA,NA,NA,NA
AC011092.2,0,NA,NA,NA,NA,NA
AC011095.1,0,NA,NA,NA,NA,NA
AC011124.1,0,NA,NA,NA,NA,NA
AC011124.2,0,NA,NA,NA,NA,NA
AC011131.1,0,NA,NA,NA,NA,NA
AC011139.1,0,NA,NA,NA,NA,NA
AC011155.2,0,NA,NA,NA,NA,NA
AC011193.1,0,NA,NA,NA,NA,NA
AC011193.2,0,NA,NA,NA,NA,NA
AC011195.1,0,NA,NA,NA,NA,NA
AC011196.1,0,NA,NA,NA,NA,NA
AC011228.1,0,NA,NA,NA,NA,NA
AC011233.1,0,NA,NA,NA,NA,NA
AC011239.1,0,NA,NA,NA,NA,NA
AC011239.2,0,NA,NA,NA,NA,NA
AC011243.1,0,NA,NA,NA,NA,NA
AC011247.1,0,NA,NA,NA,NA,NA
AC011257.1,0,NA,NA,NA,NA,NA
AC011266.1,0,NA,NA,NA,NA,NA
AC011270.2,0,NA,NA,NA,NA,NA
AC011284.1,0,NA,NA,NA,NA,NA
AC011287.1,0,NA,NA,NA,NA,NA
AC011287.2,0,NA,NA,NA,NA,NA
AC011294.1,0,NA,NA,NA,NA,NA
AC011297.1,0,NA,NA,NA,NA,NA
AC011298.1,0,NA,NA,NA,NA,NA
AC011298.2,0,NA,NA,NA,NA,NA
AC011298.3,0,NA,NA,NA,NA,NA
AC011306.1,0,NA,NA,NA,NA,NA
AC011333.1,0,NA,NA,NA,NA,NA
AC011352.1,0,NA,NA,NA,NA,NA
AC011352.2,0,NA,NA,NA,NA,NA
AC011352.3,0,NA,NA,NA,NA,NA
AC011362.1,0,NA,NA,NA,NA,NA
AC011363.1,0,NA,NA,NA,NA,NA
AC011365.2,0,NA,NA,NA,NA,NA
AC011369.1,0,NA,NA,NA,NA,NA
AC011369.2,0,NA,NA,NA,NA,NA
AC011373.1,0,NA,NA,NA,NA,NA
AC011383.1,0,NA,NA,NA,NA,NA
AC011389.1,0,NA,NA,NA,NA,NA
AC011389.2,0,NA,NA,NA,NA,NA
AC011389.3,0,NA,NA,NA,NA,NA
AC011396.1,0,NA,NA,NA,NA,NA
AC011396.2,0,NA,NA,NA,NA,NA
AC011396.3,0,NA,NA,NA,NA,NA
AC011410.1,0,NA,NA,NA,NA,NA
AC011416.1,0,NA,NA,NA,NA,NA
AC011431.1,0,NA,NA,NA,NA,NA
AC011443.1,0,NA,NA,NA,NA,NA
AC011444.3,0,NA,NA,NA,NA,NA
AC011446.1,0,NA,NA,NA,NA,NA
AC011446.2,0,NA,NA,NA,NA,NA
AC011447.1,0,NA,NA,NA,NA,NA
AC011447.4,0,NA,NA,NA,NA,NA
AC011447.5,0,NA,NA,NA,NA,NA
AC011452.1,0,NA,NA,NA,NA,NA
AC011453.2,0,NA,NA,NA,NA,NA
AC011455.2,0,NA,NA,NA,NA,NA
AC011456.1,0,NA,NA,NA,NA,NA
AC011458.2,0,NA,NA,NA,NA,NA
AC011460.1,0,NA,NA,NA,NA,NA
AC011462.2,0,NA,NA,NA,NA,NA
AC011466.2,0,NA,NA,NA,NA,NA
AC011467.1,0,NA,NA,NA,NA,NA
AC011467.2,0,NA,NA,NA,NA,NA
AC011467.3,0,NA,NA,NA,NA,NA
AC011467.4,0,NA,NA,NA,NA,NA
AC011467.5,0,NA,NA,NA,NA,NA
AC011467.6,0,NA,NA,NA,NA,NA
AC011468.2,0,NA,NA,NA,NA,NA
AC011468.4,0,NA,NA,NA,NA,NA
AC011471.1,0,NA,NA,NA,NA,NA
AC011471.2,0,NA,NA,NA,NA,NA
AC011471.4,0,NA,NA,NA,NA,NA
AC011472.3,0,NA,NA,NA,NA,NA
AC011473.1,0,NA,NA,NA,NA,NA
AC011473.2,0,NA,NA,NA,NA,NA
AC011473.3,0,NA,NA,NA,NA,NA
AC011473.4,0,NA,NA,NA,NA,NA
AC011474.3,0,NA,NA,NA,NA,NA
AC011474.4,0,NA,NA,NA,NA,NA
AC011476.1,0,NA,NA,NA,NA,NA
AC011476.5,0,NA,NA,NA,NA,NA
AC011477.4,0,NA,NA,NA,NA,NA
AC011477.5,0,NA,NA,NA,NA,NA
AC011478.1,0,NA,NA,NA,NA,NA
AC011479.1,0,NA,NA,NA,NA,NA
AC011481.3,0,NA,NA,NA,NA,NA
AC011483.1,0,NA,NA,NA,NA,NA
AC011483.2,0,NA,NA,NA,NA,NA
AC011483.3,0,NA,NA,NA,NA,NA
AC011484.1,0,NA,NA,NA,NA,NA
AC011487.2,0,NA,NA,NA,NA,NA
AC011487.3,0,NA,NA,NA,NA,NA
AC011487.4,0,NA,NA,NA,NA,NA
AC011491.1,0,NA,NA,NA,NA,NA
AC011492.1,0,NA,NA,NA,NA,NA
AC011494.1,0,NA,NA,NA,NA,NA
AC011495.2,0,NA,NA,NA,NA,NA
AC011495.3,0,NA,NA,NA,NA,NA
AC011497.1,0,NA,NA,NA,NA,NA
AC011497.2,0,NA,NA,NA,NA,NA
AC011498.2,0,NA,NA,NA,NA,NA
AC011499.1,0,NA,NA,NA,NA,NA
AC011500.1,0,NA,NA,NA,NA,NA
AC011500.2,0,NA,NA,NA,NA,NA
AC011500.3,0,NA,NA,NA,NA,NA
AC011503.1,0,NA,NA,NA,NA,NA
AC011504.1,0,NA,NA,NA,NA,NA
AC011507.1,0,NA,NA,NA,NA,NA
AC011511.3,0,NA,NA,NA,NA,NA
AC011516.1,0,NA,NA,NA,NA,NA
AC011518.1,0,NA,NA,NA,NA,NA
AC011523.1,0,NA,NA,NA,NA,NA
AC011524.1,0,NA,NA,NA,NA,NA
AC011524.2,0,NA,NA,NA,NA,NA
AC011525.1,0,NA,NA,NA,NA,NA
AC011525.2,0,NA,NA,NA,NA,NA
AC011530.1,0,NA,NA,NA,NA,NA
AC011558.1,0,NA,NA,NA,NA,NA
AC011586.1,0,NA,NA,NA,NA,NA
AC011591.1,0,NA,NA,NA,NA,NA
AC011591.2,0,NA,NA,NA,NA,NA
AC011592.1,0,NA,NA,NA,NA,NA
AC011595.1,0,NA,NA,NA,NA,NA
AC011595.3,0,NA,NA,NA,NA,NA
AC011602.1,0,NA,NA,NA,NA,NA
AC011603.1,0,NA,NA,NA,NA,NA
AC011603.3,0,NA,NA,NA,NA,NA
AC011603.4,0,NA,NA,NA,NA,NA
AC011604.1,0,NA,NA,NA,NA,NA
AC011604.2,0,NA,NA,NA,NA,NA
AC011611.2,0,NA,NA,NA,NA,NA
AC011611.3,0,NA,NA,NA,NA,NA
AC011611.4,0,NA,NA,NA,NA,NA
AC011625.1,0,NA,NA,NA,NA,NA
AC011626.1,0,NA,NA,NA,NA,NA
AC011632.2,0,NA,NA,NA,NA,NA
AC011700.1,0,NA,NA,NA,NA,NA
AC011712.1,0,NA,NA,NA,NA,NA
AC011718.1,0,NA,NA,NA,NA,NA
AC011731.1,0,NA,NA,NA,NA,NA
AC011747.1,0,NA,NA,NA,NA,NA
AC011752.1,0,NA,NA,NA,NA,NA
AC011753.1,0,NA,NA,NA,NA,NA
AC011753.2,0,NA,NA,NA,NA,NA
AC011754.1,0,NA,NA,NA,NA,NA
AC011755.1,0,NA,NA,NA,NA,NA
AC011767.1,0,NA,NA,NA,NA,NA
AC011773.2,0,NA,NA,NA,NA,NA
AC011824.1,0,NA,NA,NA,NA,NA
AC011824.2,0,NA,NA,NA,NA,NA
AC011824.3,0,NA,NA,NA,NA,NA
AC011825.3,0,NA,NA,NA,NA,NA
AC011840.1,0,NA,NA,NA,NA,NA
AC011840.4,0,NA,NA,NA,NA,NA
AC011840.5,0,NA,NA,NA,NA,NA
AC011841.1,0,NA,NA,NA,NA,NA
AC011853.1,0,NA,NA,NA,NA,NA
AC011853.2,0,NA,NA,NA,NA,NA
AC011890.2,0,NA,NA,NA,NA,NA
AC011891.1,0,NA,NA,NA,NA,NA
AC011891.2,0,NA,NA,NA,NA,NA
AC011894.1,0,NA,NA,NA,NA,NA
AC011897.1,0,NA,NA,NA,NA,NA
AC011899.1,0,NA,NA,NA,NA,NA
AC011900.1,0,NA,NA,NA,NA,NA
AC011904.1,0,NA,NA,NA,NA,NA
AC011921.2,0,NA,NA,NA,NA,NA
AC011921.3,0,NA,NA,NA,NA,NA
AC011933.4,0,NA,NA,NA,NA,NA
AC011939.3,0,NA,NA,NA,NA,NA
AC011979.2,0,NA,NA,NA,NA,NA
AC011995.1,0,NA,NA,NA,NA,NA
AC011995.2,0,NA,NA,NA,NA,NA
AC011998.1,0,NA,NA,NA,NA,NA
AC011998.2,0,NA,NA,NA,NA,NA
AC011998.3,0,NA,NA,NA,NA,NA
AC012005.1,0,NA,NA,NA,NA,NA
AC012005.2,0,NA,NA,NA,NA,NA
AC012038.1,0,NA,NA,NA,NA,NA
AC012038.2,0,NA,NA,NA,NA,NA
AC012044.1,0,NA,NA,NA,NA,NA
AC012048.1,0,NA,NA,NA,NA,NA
AC012050.1,0,NA,NA,NA,NA,NA
AC012055.1,0,NA,NA,NA,NA,NA
AC012055.2,0,NA,NA,NA,NA,NA
AC012065.1,0,NA,NA,NA,NA,NA
AC012065.4,0,NA,NA,NA,NA,NA
AC012070.1,0,NA,NA,NA,NA,NA
AC012075.1,0,NA,NA,NA,NA,NA
AC012078.1,0,NA,NA,NA,NA,NA
AC012081.1,0,NA,NA,NA,NA,NA
AC012087.1,0,NA,NA,NA,NA,NA
AC012100.1,0,NA,NA,NA,NA,NA
AC012100.2,0,NA,NA,NA,NA,NA
AC012119.1,0,NA,NA,NA,NA,NA
AC012123.2,0,NA,NA,NA,NA,NA
AC012146.2,0,NA,NA,NA,NA,NA
AC012146.4,0,NA,NA,NA,NA,NA
AC012158.2,0,NA,NA,NA,NA,NA
AC012174.1,0,NA,NA,NA,NA,NA
AC012175.1,0,NA,NA,NA,NA,NA
AC012182.1,0,NA,NA,NA,NA,NA
AC012183.1,0,NA,NA,NA,NA,NA
AC012184.1,0,NA,NA,NA,NA,NA
AC012184.2,0,NA,NA,NA,NA,NA
AC012186.3,0,NA,NA,NA,NA,NA
AC012213.4,0,NA,NA,NA,NA,NA
AC012229.1,0,NA,NA,NA,NA,NA
AC012254.2,0,NA,NA,NA,NA,NA
AC012254.4,0,NA,NA,NA,NA,NA
AC012291.1,0,NA,NA,NA,NA,NA
AC012301.1,0,NA,NA,NA,NA,NA
AC012306.1,0,NA,NA,NA,NA,NA
AC012307.1,0,NA,NA,NA,NA,NA
AC012312.1,0,NA,NA,NA,NA,NA
AC012313.7,0,NA,NA,NA,NA,NA
AC012314.10,0,NA,NA,NA,NA,NA
AC012317.1,0,NA,NA,NA,NA,NA
AC012321.1,0,NA,NA,NA,NA,NA
AC012322.1,0,NA,NA,NA,NA,NA
AC012339.1,0,NA,NA,NA,NA,NA
AC012339.2,0,NA,NA,NA,NA,NA
AC012354.1,0,NA,NA,NA,NA,NA
AC012354.3,0,NA,NA,NA,NA,NA
AC012355.1,0,NA,NA,NA,NA,NA
AC012360.1,0,NA,NA,NA,NA,NA
AC012361.1,0,NA,NA,NA,NA,NA
AC012362.1,0,NA,NA,NA,NA,NA
AC012366.1,0,NA,NA,NA,NA,NA
AC012370.1,0,NA,NA,NA,NA,NA
AC012370.2,0,NA,NA,NA,NA,NA
AC012378.1,0,NA,NA,NA,NA,NA
AC012379.1,0,NA,NA,NA,NA,NA
AC012379.2,0,NA,NA,NA,NA,NA
AC012400.1,0,NA,NA,NA,NA,NA
AC012404.1,0,NA,NA,NA,NA,NA
AC012404.2,0,NA,NA,NA,NA,NA
AC012409.1,0,NA,NA,NA,NA,NA
AC012409.2,0,NA,NA,NA,NA,NA
AC012409.3,0,NA,NA,NA,NA,NA
AC012409.4,0,NA,NA,NA,NA,NA
AC012409.5,0,NA,NA,NA,NA,NA
AC012413.1,0,NA,NA,NA,NA,NA
AC012414.1,0,NA,NA,NA,NA,NA
AC012414.2,0,NA,NA,NA,NA,NA
AC012414.3,0,NA,NA,NA,NA,NA
AC012414.4,0,NA,NA,NA,NA,NA
AC012414.5,0,NA,NA,NA,NA,NA
AC012414.6,0,NA,NA,NA,NA,NA
AC012414.7,0,NA,NA,NA,NA,NA
AC012433.1,0,NA,NA,NA,NA,NA
AC012442.3,0,NA,NA,NA,NA,NA
AC012443.1,0,NA,NA,NA,NA,NA
AC012445.1,0,NA,NA,NA,NA,NA
AC012451.1,0,NA,NA,NA,NA,NA
AC012456.1,0,NA,NA,NA,NA,NA
AC012456.2,0,NA,NA,NA,NA,NA
AC012462.1,0,NA,NA,NA,NA,NA
AC012462.2,0,NA,NA,NA,NA,NA
AC012462.3,0,NA,NA,NA,NA,NA
AC012467.1,0,NA,NA,NA,NA,NA
AC012468.1,0,NA,NA,NA,NA,NA
AC012485.2,0,NA,NA,NA,NA,NA
AC012486.1,0,NA,NA,NA,NA,NA
AC012488.1,0,NA,NA,NA,NA,NA
AC012491.1,0,NA,NA,NA,NA,NA
AC012493.2,0,NA,NA,NA,NA,NA
AC012493.3,0,NA,NA,NA,NA,NA
AC012494.1,0,NA,NA,NA,NA,NA
AC012497.1,0,NA,NA,NA,NA,NA
AC012501.1,0,NA,NA,NA,NA,NA
AC012501.2,0,NA,NA,NA,NA,NA
AC012506.1,0,NA,NA,NA,NA,NA
AC012506.2,0,NA,NA,NA,NA,NA
AC012506.3,0,NA,NA,NA,NA,NA
AC012507.1,0,NA,NA,NA,NA,NA
AC012507.3,0,NA,NA,NA,NA,NA
AC012508.1,0,NA,NA,NA,NA,NA
AC012508.2,0,NA,NA,NA,NA,NA
AC012513.1,0,NA,NA,NA,NA,NA
AC012519.1,0,NA,NA,NA,NA,NA
AC012531.1,0,NA,NA,NA,NA,NA
AC012531.2,0,NA,NA,NA,NA,NA
AC012531.3,0,NA,NA,NA,NA,NA
AC012531.4,0,NA,NA,NA,NA,NA
AC012531.5,0,NA,NA,NA,NA,NA
AC012555.1,0,NA,NA,NA,NA,NA
AC012558.1,0,NA,NA,NA,NA,NA
AC012564.1,0,NA,NA,NA,NA,NA
AC012572.1,0,NA,NA,NA,NA,NA
AC012574.1,0,NA,NA,NA,NA,NA
AC012574.2,0,NA,NA,NA,NA,NA
AC012588.1,0,NA,NA,NA,NA,NA
AC012593.1,0,NA,NA,NA,NA,NA
AC012613.1,0,NA,NA,NA,NA,NA
AC012615.2,0,NA,NA,NA,NA,NA
AC012615.3,0,NA,NA,NA,NA,NA
AC012615.5,0,NA,NA,NA,NA,NA
AC012616.1,0,NA,NA,NA,NA,NA
AC012625.1,0,NA,NA,NA,NA,NA
AC012629.1,0,NA,NA,NA,NA,NA
AC012629.3,0,NA,NA,NA,NA,NA
AC012629.4,0,NA,NA,NA,NA,NA
AC012640.3,0,NA,NA,NA,NA,NA
AC012653.1,0,NA,NA,NA,NA,NA
AC012668.1,0,NA,NA,NA,NA,NA
AC012668.2,0,NA,NA,NA,NA,NA
AC012669.1,0,NA,NA,NA,NA,NA
AC012671.1,0,NA,NA,NA,NA,NA
AC013244.1,0,NA,NA,NA,NA,NA
AC013244.2,0,NA,NA,NA,NA,NA
AC013244.3,0,NA,NA,NA,NA,NA
AC013248.1,0,NA,NA,NA,NA,NA
AC013262.1,0,NA,NA,NA,NA,NA
AC013268.1,0,NA,NA,NA,NA,NA
AC013268.2,0,NA,NA,NA,NA,NA
AC013268.3,0,NA,NA,NA,NA,NA
AC013268.4,0,NA,NA,NA,NA,NA
AC013268.5,0,NA,NA,NA,NA,NA
AC013269.1,0,NA,NA,NA,NA,NA
AC013269.3,0,NA,NA,NA,NA,NA
AC013271.1,0,NA,NA,NA,NA,NA
AC013275.1,0,NA,NA,NA,NA,NA
AC013286.1,0,NA,NA,NA,NA,NA
AC013290.1,0,NA,NA,NA,NA,NA
AC013355.1,0,NA,NA,NA,NA,NA
AC013356.4,0,NA,NA,NA,NA,NA
AC013391.1,0,NA,NA,NA,NA,NA
AC013391.2,0,NA,NA,NA,NA,NA
AC013391.3,0,NA,NA,NA,NA,NA
AC013399.1,0,NA,NA,NA,NA,NA
AC013401.1,0,NA,NA,NA,NA,NA
AC013402.1,0,NA,NA,NA,NA,NA
AC013402.2,0,NA,NA,NA,NA,NA
AC013402.3,0,NA,NA,NA,NA,NA
AC013403.1,0,NA,NA,NA,NA,NA
AC013410.2,0,NA,NA,NA,NA,NA
AC013412.1,0,NA,NA,NA,NA,NA
AC013417.1,0,NA,NA,NA,NA,NA
AC013429.1,0,NA,NA,NA,NA,NA
AC013429.2,0,NA,NA,NA,NA,NA
AC013436.1,0,NA,NA,NA,NA,NA
AC013442.1,0,NA,NA,NA,NA,NA
AC013448.1,0,NA,NA,NA,NA,NA
AC013448.2,0,NA,NA,NA,NA,NA
AC013451.1,0,NA,NA,NA,NA,NA
AC013452.1,0,NA,NA,NA,NA,NA
AC013467.1,0,NA,NA,NA,NA,NA
AC013470.1,0,NA,NA,NA,NA,NA
AC013470.2,0,NA,NA,NA,NA,NA
AC013470.4,0,NA,NA,NA,NA,NA
AC013472.2,0,NA,NA,NA,NA,NA
AC013480.1,0,NA,NA,NA,NA,NA
AC013488.1,0,NA,NA,NA,NA,NA
AC013489.1,0,NA,NA,NA,NA,NA
AC013489.2,0,NA,NA,NA,NA,NA
AC013489.3,0,NA,NA,NA,NA,NA
AC013509.1,0,NA,NA,NA,NA,NA
AC013546.1,0,NA,NA,NA,NA,NA
AC013549.1,0,NA,NA,NA,NA,NA
AC013549.2,0,NA,NA,NA,NA,NA
AC013549.3,0,NA,NA,NA,NA,NA
AC013553.1,0,NA,NA,NA,NA,NA
AC013553.3,0,NA,NA,NA,NA,NA
AC013562.1,0,NA,NA,NA,NA,NA
AC013562.2,0,NA,NA,NA,NA,NA
AC013564.1,0,NA,NA,NA,NA,NA
AC013565.2,0,NA,NA,NA,NA,NA
AC013640.1,0,NA,NA,NA,NA,NA
AC013643.1,0,NA,NA,NA,NA,NA
AC013643.3,0,NA,NA,NA,NA,NA
AC013652.2,0,NA,NA,NA,NA,NA
AC013701.1,0,NA,NA,NA,NA,NA
AC013714.1,0,NA,NA,NA,NA,NA
AC013724.1,0,NA,NA,NA,NA,NA
AC013727.1,0,NA,NA,NA,NA,NA
AC013727.2,0,NA,NA,NA,NA,NA
AC013733.1,0,NA,NA,NA,NA,NA
AC013733.2,0,NA,NA,NA,NA,NA
AC013734.1,0,NA,NA,NA,NA,NA
AC013762.1,0,NA,NA,NA,NA,NA
AC013791.1,0,NA,NA,NA,NA,NA
AC013799.1,0,NA,NA,NA,NA,NA
AC013828.2,0,NA,NA,NA,NA,NA
AC015468.1,0,NA,NA,NA,NA,NA
AC015468.2,0,NA,NA,NA,NA,NA
AC015468.4,0,NA,NA,NA,NA,NA
AC015522.1,0,NA,NA,NA,NA,NA
AC015540.1,0,NA,NA,NA,NA,NA
AC015563.2,0,NA,NA,NA,NA,NA
AC015656.1,0,NA,NA,NA,NA,NA
AC015660.1,0,NA,NA,NA,NA,NA
AC015674.1,0,NA,NA,NA,NA,NA
AC015688.1,0,NA,NA,NA,NA,NA
AC015688.2,0,NA,NA,NA,NA,NA
AC015688.3,0,NA,NA,NA,NA,NA
AC015688.4,0,NA,NA,NA,NA,NA
AC015688.5,0,NA,NA,NA,NA,NA
AC015688.6,0,NA,NA,NA,NA,NA
AC015688.8,0,NA,NA,NA,NA,NA
AC015712.3,0,NA,NA,NA,NA,NA
AC015712.4,0,NA,NA,NA,NA,NA
AC015712.5,0,NA,NA,NA,NA,NA
AC015712.7,0,NA,NA,NA,NA,NA
AC015720.1,0,NA,NA,NA,NA,NA
AC015722.1,0,NA,NA,NA,NA,NA
AC015722.2,0,NA,NA,NA,NA,NA
AC015726.3,0,NA,NA,NA,NA,NA
AC015743.1,0,NA,NA,NA,NA,NA
AC015771.1,0,NA,NA,NA,NA,NA
AC015802.2,0,NA,NA,NA,NA,NA
AC015813.2,0,NA,NA,NA,NA,NA
AC015813.3,0,NA,NA,NA,NA,NA
AC015813.4,0,NA,NA,NA,NA,NA
AC015818.1,0,NA,NA,NA,NA,NA
AC015818.3,0,NA,NA,NA,NA,NA
AC015818.4,0,NA,NA,NA,NA,NA
AC015818.5,0,NA,NA,NA,NA,NA
AC015818.7,0,NA,NA,NA,NA,NA
AC015818.8,0,NA,NA,NA,NA,NA
AC015818.9,0,NA,NA,NA,NA,NA
AC015819.3,0,NA,NA,NA,NA,NA
AC015845.1,0,NA,NA,NA,NA,NA
AC015849.2,0,NA,NA,NA,NA,NA
AC015871.5,0,NA,NA,NA,NA,NA
AC015878.1,0,NA,NA,NA,NA,NA
AC015878.2,0,NA,NA,NA,NA,NA
AC015908.1,0,NA,NA,NA,NA,NA
AC015908.2,0,NA,NA,NA,NA,NA
AC015908.4,0,NA,NA,NA,NA,NA
AC015908.5,0,NA,NA,NA,NA,NA
AC015909.1,0,NA,NA,NA,NA,NA
AC015909.4,0,NA,NA,NA,NA,NA
AC015912.1,0,NA,NA,NA,NA,NA
AC015917.1,0,NA,NA,NA,NA,NA
AC015922.1,0,NA,NA,NA,NA,NA
AC015922.2,0,NA,NA,NA,NA,NA
AC015923.1,0,NA,NA,NA,NA,NA
AC015936.1,0,NA,NA,NA,NA,NA
AC015936.2,0,NA,NA,NA,NA,NA
AC015959.1,0,NA,NA,NA,NA,NA
AC015967.2,0,NA,NA,NA,NA,NA
AC015977.2,0,NA,NA,NA,NA,NA
AC015978.1,0,NA,NA,NA,NA,NA
AC015983.2,0,NA,NA,NA,NA,NA
