,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GADD45A,132.5348887,-0.930606031,0.325692241,-2.857317168,0.004272387,0.99722229
IL18R1,305.9825067,-0.930400701,0.327147918,-2.843975612,NA,NA
CDHR2,8.349948341,-0.92927969,0.327778997,-2.835080035,0.004581421,0.99722229
UBBP1,41.59194334,-0.927317639,0.324634954,-2.856493512,0.004283488,0.99722229
RAB19,2.197869839,-0.926449739,0.326680021,-2.835954691,0.004568893,0.99722229
NECAB1,6.618832249,-0.925461672,0.311977623,-2.966436069,NA,NA
MRC2,68.7303949,-0.924705322,0.325312772,-2.842511578,0.004475961,0.99722229
PLVAP,83.16772348,-0.922990372,0.324991307,-2.840046343,0.004510698,0.99722229
TACSTD2,9.509432071,-0.91979144,0.324811627,-2.831768826,0.00462913,0.99722229
C17orf99,9.720381497,-0.915699461,0.322529041,-2.839122512,0.004523778,0.99722229
MRC1,20.6772713,-0.913300244,0.328128444,-2.783362005,0.005379874,0.99722229
AC020904.2,2.425084457,-0.91291363,0.327696948,-2.785847213,0.005338803,0.99722229
GAPDHP65,11.09167404,-0.909597804,0.323742774,-2.809631217,0.00495983,0.99722229
AC110994.2,2.835329606,-0.906853474,0.32076954,-2.827118419,0.004696896,0.99722229
ZDHHC19,90.02894187,-0.891007526,0.283642394,-3.141305904,NA,NA
PRDX2,293.1657851,-0.88953179,0.305739849,-2.909440147,0.003620767,0.99722229
BPGM,719.8717166,-0.889127735,0.328132464,-2.709660986,0.006735201,0.99722229
FECH,342.4932221,-0.885800845,0.328095336,-2.6998276,0.006937542,0.99722229
HEMGN,239.1987978,-0.883588592,0.326363947,-2.707371941,0.006781823,0.99722229
CA4,194.4131271,-0.881095652,0.327823053,-2.687717182,0.00719423,0.99722229
IGF2,7.246672882,-0.880693473,0.307858281,-2.860710679,0.004226926,0.99722229
PGM5,24.54956377,-0.880418876,0.327206183,-2.69071589,NA,NA
OLFML2A,6.219727362,-0.874413609,0.328133381,-2.664811508,0.007703149,0.99722229
HTRA3,2.544610514,-0.872894956,0.30258693,-2.884774152,0.003916945,0.99722229
TSPAN7,8.340563992,-0.866408651,0.319476559,-2.71196314,NA,NA
DNAJC6,14.63074011,-0.861629832,0.327866143,-2.627992704,0.008589036,0.99722229
ALOX15B,31.74593912,-0.861431804,0.296243476,-2.907850712,0.00363922,0.99722229
C20orf24,103.4613242,-0.860834132,0.326272307,-2.638391657,0.008330031,0.99722229
C5orf66,3.493625816,-0.859743438,0.322259316,-2.667862167,0.007633557,0.99722229
CTSG,50.40416928,-0.854616243,0.286226073,-2.985808503,NA,NA
FBXO9,824.9298954,-0.854062669,0.304506782,-2.804741042,0.005035702,0.99722229
MFSD2B,63.13124992,-0.853868407,0.324380878,-2.632301915,0.008480846,0.99722229
DEFA4,143.6928835,-0.852582676,0.299614486,-2.845598985,NA,NA
GRTP1,2.86762566,-0.851614893,0.327754961,-2.598328,0.009367896,0.99722229
ASCC2,1803.293644,-0.851400914,0.316433185,-2.690618288,0.007131975,0.99722229
LCN2,532.5922965,-0.848164993,0.304510495,-2.785339119,NA,NA
SCN5A,2.876407291,-0.844215311,0.319388155,-2.643226735,0.008212002,0.99722229
OSBP2,542.7873263,-0.844094912,0.328015049,-2.573342032,0.010072161,0.99722229
TMOD1,141.1752871,-0.843156461,0.325711056,-2.588663926,0.009634908,0.99722229
LTBP2,55.82825951,-0.84280805,0.300727408,-2.80256481,0.005069803,0.99722229
AL158050.1,2.754840437,-0.842782324,0.327717803,-2.57167086,0.010120906,0.99722229
H3F3AP6,79.10106567,-0.842589451,0.326280441,-2.582408704,0.009811332,0.99722229
AL136133.1,1.803515991,-0.842006259,0.323374645,-2.603810381,0.009219375,0.99722229
AC067904.2,3.245083813,-0.841557892,0.323567439,-2.600873238,0.009298681,0.99722229
MMP9,2198.273602,-0.841393189,0.299794786,-2.806563785,NA,NA
HBG2,2115.729046,-0.840219307,0.273626932,-3.07067473,NA,NA
MIR3150BHG,2.547721784,-0.835656291,0.326282861,-2.561140627,0.010432912,0.99722229
1-Mar,395.359571,-0.835499031,0.305640129,-2.733603839,0.006264537,0.99722229
FKBP5,1974.129645,-0.835445036,0.326075038,-2.56212509,0.010403384,0.99722229
FAXDC2,277.3425429,-0.832524376,0.318705729,-2.612203985,0.008996056,0.99722229
AL928742.1,3.511162093,-0.831243171,0.328012785,-2.534179184,0.011271108,0.99722229
SLC14A1,247.6835593,-0.829381221,0.327600831,-2.53168229,0.01135168,0.99722229
OLAH,42.17636142,-0.829340026,0.267008652,-3.106041771,NA,NA
AL138900.3,24.17831985,-0.828932545,0.327007777,-2.534901626,NA,NA
BZW1P2,5.619956346,-0.825357235,0.298811814,-2.762130533,0.005742551,0.99722229
GTF2IP1,62.66768761,-0.824970681,0.31165155,-2.647093143,0.008118699,0.99722229
MCEMP1,381.2533309,-0.822437003,0.313873276,-2.620283616,NA,NA
MTND1P23,145.0931133,-0.822026292,0.263756719,-3.116607971,NA,NA
TRBV10-2,8.658205852,-0.820216075,0.313956888,-2.612511801,NA,NA
ACTBP2,22.19004853,-0.819548707,0.327326306,-2.503766711,0.012287903,0.99722229
EPB42,525.6119237,-0.819137913,0.328113921,-2.496504598,0.012542404,0.99722229
C5orf30,52.87718282,-0.818451731,0.315171926,-2.596842115,0.009408516,0.99722229
KBTBD7,169.1919389,-0.812204906,0.258679277,-3.139814358,0.001690549,0.99722229
ITLN1,51.52318267,-0.80924017,0.326102808,-2.481549221,0.013081264,0.99722229
KLF1,160.387161,-0.809150753,0.321267638,-2.518618928,0.011781609,0.99722229
PAGE2B,27.62597608,-0.809007676,0.320646776,-2.523049466,0.011634203,0.99722229
C4BPA,16.79867298,-0.806800116,0.323381846,-2.49488376,0.01259984,0.99722229
ALAS2,9744.018684,-0.805673478,0.32342922,-2.491034914,0.01273716,0.99722229
PFKFB2,185.5435811,-0.805466166,0.32006485,-2.516571771,0.011850276,0.99722229
SRGAP2B,10.30434013,-0.803314943,0.291662074,-2.754266031,0.005882393,0.99722229
RNASE1,29.29064183,-0.79933486,0.289560937,-2.760506542,NA,NA
GNAS,10852.52562,-0.795421092,0.294997623,-2.696364416,0.007010093,0.99722229
AL158201.1,2.789327939,-0.794279124,0.311519472,-2.54969334,0.010781771,0.99722229
MMP8,649.1120922,-0.793286958,0.273638334,-2.899034448,NA,NA
RPL7P1,5.315595236,-0.792082572,0.327149782,-2.421161851,0.015470987,0.99722229
LYL1,1201.516417,-0.792075068,0.324243711,-2.442838644,0.014572251,0.99722229
SPRY1,9.814639033,-0.791184396,0.294298262,-2.688376042,0.007180049,0.99722229
CCDC162P,8.196638185,-0.790807373,0.297396915,-2.659097429,NA,NA
